id,title,description,price,category,image,specs,skv,mrp,sale_price,features,stock
1,Arduino Uno R3,The classic microcontroller board for your projects. Reliable and easy to use.,450,Development Boards,https://images.unsplash.com/photo-1553406830-ef2513450d76?auto=format&fit=crop&q=80&w=1000,"{""Microcontroller"": ""ATmega328P"", ""Operating Voltage"": ""5V""}",SKV-ARD-001,650,450,"[""ATmega328P Microcontroller"", ""Operating Voltage: 5V"", ""Input Voltage (recommended): 7-12V"", ""Digital I/O Pins: 14""]",50
2,Raspberry Pi 4 Model B (4GB),"A powerful mini-computer for IoT, media centers, and more.",4500,Development Boards,https://images.unsplash.com/photo-1555617981-d52f6f55c2d7?auto=format&fit=crop&q=80&w=1000,"{""RAM"": ""4GB LPDDR4"", ""Processor"": ""Broadcom BCM2711""}",SKV-RPI-002,5500,4500,"[""Broadcom BCM2711, Quad core Cortex-A72 (ARM v8) 64-bit SoC @ 1.5GHz"", ""4GB LPDDR4-3200 SDRAM"", ""2.4 GHz and 5.0 GHz IEEE 802.11ac wireless""]",15
3,HC-SR04 Ultrasonic Sensor,Distance measuring module utilizing ultrasonic waves.,80,Sensors,https://images.unsplash.com/photo-1581092160562-40aa08e78837?auto=format&fit=crop&q=80&w=1000,"{""Range"": ""2cm - 400cm"", ""Voltage"": ""5V""}",SKV-SEN-003,150,80,"[""Power Supply :+5V DC"", ""Quiescent Current : <2mA"", ""Working Current: 15mA"", ""Effectual Angle: <15\u00b0"", ""Ranging Distance : 2cm \u2013 400 cm/1\u2033 \u2013 13ft""]",100
4,ESP8266 NodeMCU,WiFi enabled microcontroller for IoT applications.,350,Modules,https://images.unsplash.com/photo-1517077304055-6e89abbf09b0?auto=format&fit=crop&q=80&w=1000,"{""WiFi"": ""802.11 b/g/n"", ""Voltage"": ""3.3V""}",SKV-MOD-004,500,350,"[""Wi-Fi Module - ESP-12E module similar to ESP-12 module but with 6 extra GPIOs"", ""USB - micro USB port for power, programming and debugging"", ""Headers - 2x 2.54mm 15-pin header with access to GPIOs, SPI, UART, ADC and power pins""]",35
5,SG90 Micro Servo Motor,Tiny and lightweight with high output power. Ideal for RC projects.,120,Motors,https://images.unsplash.com/photo-1580835545068-39609c183063?auto=format&fit=crop&q=80&w=1000,"{""Torque"": ""1.8 kg-cm"", ""Speed"": ""0.1 sec/60deg""}",SKV-MOT-005,200,120,"[""Operating Voltage: 3.0V~7.2V"", ""Operating Speed: 0.1sec/60degree(4.8V)"", ""Stall Torque: 1.2kg/cm(4.8V)"", ""Dead Band Width: 7usec""]",60
6,Li-Po Battery 3.7V 1000mAh,High capacity rechargeable lithium polymer battery.,400,Battery,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR61ba7tNlKqgqKyE_wXqgq6lqqKqqKqqKqqA&s,"{""Capacity"": ""1000mAh"", ""Voltage"": ""3.7V""}",SKV-BAT-006,600,400,"[""Voltage: 3.7V"", ""Capacity: 1000mAh"", ""Type: Lithium Polymer"", ""Rechargeable: Yes""]",25
7,DHT11 Temperature & Humidity Sensor,Basic digital temperature and humidity sensor.,90,Sensors,https://images.unsplash.com/photo-1581092918056-0c4c3acd90f9?auto=format&fit=crop&q=80&w=1000,"{""Temp Range"": ""0-50\u00b0C"", ""Humidity Range"": ""20-80%""}",SKV-SEN-007,150,90,"[""Supply Voltage: +5 V"", ""Temperature Range : 0\u00b0C to 50\u00b0C"", ""Humidity Range: 20% to 90%""]",20
8,OLED Display 0.96 inch,I2C OLED display module for Arduino and Pi.,250,Displays,https://images.unsplash.com/photo-1550751827-4bd374c3f58b?auto=format&fit=crop&q=80&w=1000,"{""Resolution"": ""128x64"", ""Interface"": ""I2C""}",SKV-DIS-008,450,250,"[""128x64 pixel resolution"", ""I2C Interface"", ""Driver IC: SSD1306"", ""Operating Voltage: 3.3V - 5V""]",
10,ADXL345 Triple Axis Accelerometer Board,"The ADXL345 is a small, thin, low power, 3-axis accelerometer with high resolution (13-bit) measurement at up to ±16g. Digital output data is formatted as 16-bit twos complement and is accessible through either an SPI (3- or 4-wire) or I2C digital interface. The ADXL345 is well suited for mobile device applications. It measures the static acceleration of gravity in tilt-sensing applications, as well as dynamic acceleration resulting from motion or shock. Its high resolution (4 mg/LSB) enables measurement of inclination changes less than 1.0°. Low power modes enable intelligent motion-based power management with threshold sensing and active acceleration measurement at extremely low power dissipation.",160,,ADXL345 Triple Axis Accelerometer Board .jpeg,"{""Supply Voltage"": ""3.3V or 5V"", ""Sensitivity"": ""X: 28.6 LSB/g, Y: 31.2 LSB/g, Z: 34.5 LSB/g"", ""Output Data Rate (ODR)"": ""800 Hz"", ""Sensing Range"": ""±2g, ±4g, ±8g, ±16g""}",S11A,320,160,"[""Ultra-Low Power: 40µA in measurement mode, 0.1µA in standby @2.5V"", ""Free-Fall Detection"", ""Tap/Double Tap Detection"", ""Flexible interrupt modes mappable to either interrupt pin"", ""Measurement ranges selectable via serial command"", ""Bandwidth selectable via serial command"", ""Wide temperature range (−40°C to +85°C)"", ""10,000g shock survival"", ""Supports 5V/3.3V voltage input"", ""Onboard RT9161 power chip with low dropout and fast load response"", ""User-selectable resolution"", ""Fixed 10-bit resolution"", ""Full resolution up to 13-bit at ±16g (4 mg/LSB scale factor maintained in all G ranges)""]",4
11,ACS712 20AMP Ac/DC Current Sensor,"ACS712 Current Sensor Module  can sense up to 20 A of current flow. Sensing and controlling the current flow is a fundamental requirement in wide variety of applications, which includes over-current protection circuits, battery chargers, switching mode power supplies, digital watt meters, programmable current sources, etc. It is based on ACS712 sensor, which is precise, low-offset, linear Hall circuit with a copper conduction path located near the surface of the die. Applied current flowing through this copper conduction path generates a magnetic field in which the Hall IC converts into a proportional voltage.",100,Sensors,ACS712 20AMP Ac/DC Current Sensor.jpeg,"{""Supply Voltage"": ""4.5V ~ 5.5V DC"", ""Current Measurement Range"": ""-20A ~ 20A"", ""Sensitivity"": ""100 mV/A"", ""Signal Path"": ""Low-noise analog"", ""Power-On Time"": ""35 µs"", ""Output Rise Time"": ""5 µs (step input response)"", ""Package"": ""SOIC-8, small footprint, low-profile""}",S12,200,100,"[""Nearly zero magnetic hysteresis"", ""5.0V single-supply operation"", ""66 to 185 mV/A output sensitivity"", ""Output voltage proportional to AC or DC current"", ""Factory-trimmed for accuracy"", ""Extremely stable output offset voltage"", ""Ratiometric output from supply voltage"", ""2.1 kV RMS minimum isolation voltage (pins 1-4 to pins 5-8)""]",2
12,"PZEM-004T AC Multi-function 
Electric Energy Metering Power Monitor","The PZEM-004T AC meter with0ut coil current transformer (CT) and USB cable is a powerful and user-friendly device designed for precise monitoring of AC voltage, current, power, and energy consumption. This versatile meter is ideal for a wide range of applications, from home energy management to industrial monitoring, providing essential data to help optimize electrical systems.",580,Sensors,PZEM-004T AC Multi-function Electric Energy Metering Power Monitor.jpeg,,S13A,,580,"{""Brand"": """", ""Model"": ""PZEM-004T"", ""Operating Voltage"": ""80–260VAC"", ""Test Voltage"": ""80–260VAC"", ""Rated Current"": ""100A"", ""Rated Power"": ""22000W (at 220V, 100A)"", ""Operating Frequency"": ""45–65Hz"", ""Measurement Accuracy"": ""Class 1.0""}",1
13,DHT-11 Temperature And Humidity Sensor,"This DHT11 Digital Relative Humidity & Temperature Sensor Module is pre-calibrated with resistive sense technology coupled with NTC thermistor, for the precise reading of the relative Humidity and surrounding temperature DHT 11 break-out board is a very popular, low-cost sensor from Losing, the breakout provides easy installation of the DHT11 sensor module. The board is also equipped with high- performance 8-Bit microcontroller which is connected to the DHT11 sensor module. The output of the DHT11 is in the form of a digital signal on a single data pin. The sensing update frequency is to be measured at every 2sec (0.5Hz).",70,Sensors,DHT-11 Temperature And Humidity Sensor.jpeg,,S14,140,70,"{""Operating Voltage"": ""3.5V to 5.5V"", ""Operating Current"": ""0.3mA (measuring), 60µA (standby)"", ""Output"": ""Serial data"", ""Temperature Range"": ""0°C to 50°C"", ""Humidity Range"": ""20% to 90%"", ""Resolution"": ""16-bit (Temperature and Humidity)"", ""Accuracy"": ""±1°C, ±1%"", ""Compatibility"": ""Arduino boards, ESP8266""}",47
14,DHT22 Module Temp & Humidity Sensor,"The DHT22 Digital Temperature and Humidity Sensor Module AM2302 is a basic, low-cost digital temperature and humidity sensor. It uses a capacitive humidity sensor and a thermistor to measure the surrounding air and spits out a digital signal on the data pin (no analog input pins needed). It’s fairly simple to use but requires careful timing to grab data. The only real downside of this sensor is you can only get new data from it once every 2 seconds, so when using our library, sensor readings can be up to 2 seconds old.",130,Sensors,DHT22 Module Temp & Humidity Sensor.jpeg,,S14A,260,130,"{""Operating Voltage"": ""3.5V to 5.5V"", ""Operating Current"": ""0.3mA (measuring), 60µA (standby)"", ""Output"": ""Serial data"", ""Temperature Range"": ""-40°C to 80°C"", ""Humidity Range"": ""0% to 100%"", ""Resolution"": ""16-bit (Temperature and Humidity)"", ""Accuracy"": ""±0.5°C, ±1%"", ""Compatibility"": ""Arduino boards, ESP8266""}",4
